符号,地址,注释
MB_Flow_Avg,VD224,平均流速(0x000F 近1分钟)
MB_Flow_Unit,VW228,流量单位编码(0x0012 默认0x03=升L)
DT_TankB_FullTime,DT10,下缸变满时刻时间戳(断电恢复用)
VW230_ValveA_SubState_Old,VW230,阀A诊断子状态(旧版v2.1保留,请勿与新地址混用)
VW232_ValveA_Result_Old,VW232,阀A诊断结果(旧版v2.1保留)
VW234_ValveA_PT_Old,VW234,阀A当前PT定时值(旧版v2.1保留)
VW240_ValveB_SubState_Old,VW240,阀B诊断子状态(旧版v2.1保留)
VW242_ValveB_Result_Old,VW242,阀B诊断结果(旧版v2.1保留)
VW244_ValveB_PT_Old,VW244,阀B当前PT定时值(旧版v2.1保留)
VW250_ValveC_SubState_Old,VW250,阀C诊断子状态(旧版v2.1保留)
VW252_ValveC_Result_Old,VW252,阀C诊断结果(旧版v2.1保留;实际已迁VW270,v2.3前被VD252 TimerB_Elapsed低字覆盖,FC1A的T38 PT已迁VW402,勿复用)
VW254_ValveC_PT_Old,VW254,阀C当前PT定时值(旧版v2.1保留)
VW260_ValveA_SubState,VW260,阀A诊断子状态(v2.2)
VW266_ValveA_Result,VW266,阀A诊断结果(v2.2)
VW278_ValveA_OpenTimeout_PT,VW278,阀A开到位超时PT(VD358×10)
VW280_ValveA_Verify_PT,VW280,阀A关阀延时验证PT(VD66×10)
VW262_ValveB_SubState,VW262,阀B诊断子状态(v2.2)
VW268_ValveB_Result,VW268,阀B诊断结果(v2.2)
VW274_ValveB_PT,VW274,阀B当前PT定时值(VD362×10)
VW264_ValveC_SubState,VW264,阀C诊断子状态(v2.2)
VW270_ValveC_Result,VW270,阀C诊断结果(v2.2)
VW276_ValveC_PT,VW276,阀C当前PT定时值(VD54×10)
VW284_ValveC_Verify_PT,VW284,阀C液位低位延时验证PT(VD60×10,v10.4新增)
VW288_S4_Transfer_PT,VW288,S4转移计时器T49 PT值(v2.3从VW290迁出,原地址被FC4轮询计数器每周期改写)
VW400_CycleCount,VW400,已完成换水次数(v2.3.2由VW306迁入,避让手动命令位V306.0~307.3;VB400~401经全源核查零占用)
VW290_S4_Transfer_PT,VW290,S4转移计时器T49 PT值(v2.3起弃用,T49改用VW288;本地址现为FC4轮询计数器占用)
VW292_S6_Drain_PT,VW292,S6排水计时器T42 PT值
VD308_Diag_Spare1,VD308,诊断数据迁移区1
VD312_Diag_Spare2,VD312,已删除(原阀A内漏差值,2026-09-14废弃)
VD316_TargetInletVolume,VD316,目标进水量(FC30用)
VD320_Diag_Spare3,VD320,诊断数据迁移区3
VD324_Diag_Spare4,VD324,诊断数据迁移区4
VD328_Diag_Spare5,VD328,诊断数据迁移区5
VD332_Diag_Spare6,VD332,诊断数据迁移区6
VD336_Diag_Spare7,VD336,诊断数据迁移区7
VD340_Diag_Spare8,VD340,诊断数据迁移区8
VD344_Diag_Spare9,VD344,诊断数据迁移区9
VD_FlowMeter_Degraded,VD374,流量计降级值(通讯失败时使用)
VB500_LogHead,VB500,报警日志头指针
VB501_LogTail,VB501,报警日志尾指针
VB502_LogCount,VB502,报警日志当前条数
VB510_LogEntry1,VB510,报警日志条目1起始
Flag_EStop_Latch,M0.0,急停锁存标志(建议保持)
Flag_S0_FirstEnter,M10.0,S0状态首入脉冲(建议保持)
Flag_S1_FirstEnter,M10.1,S1状态首入脉冲(建议保持)
Flag_S2_FirstEnter,M10.2,S2状态首入脉冲(建议保持)
Flag_S3_FirstEnter,M10.3,S3状态首入脉冲(建议保持)
Flag_S35_FirstEnter,M10.4,S3.5状态首入脉冲(建议保持)
Flag_S4_FirstEnter,M10.5,S4状态首入脉冲(建议保持)
Flag_S5_FirstEnter,M10.6,S5状态首入脉冲(建议保持)
Flag_S6_FirstEnter,M10.7,S6状态首入脉冲(建议保持)
Flag_I0_0_Prev,M11.0,I0.0边沿上一周期(建议保持)
Flag_I0_1_Prev,M11.1,I0.1边沿上一周期(建议保持)
M_TimerA_Active,M16.0,=1表示当前下缸轮次使用TimerA
M_NextCycleTrigger,M16.1,触发下一轮S1的脉冲
M_S1_Started,M16.2,当前轮S1已开始标志
M_S2_FirstEntry,M16.3,S2首次进入标志
M11_2_Reserved,M11.2,保留未使用(硬件变更：I0.2已去除，原边沿状态不再使用)
Flag_I1_1_Prev,M11.3,I1.1边沿上一周期(建议保持)
Flag_FC4_Done_Pump,M12.0,FC4注射泵轮询完成位
Flag_FC4_Done_Flow,M12.1,FC4流量计轮询完成位
Flag_FC4_DegradedMode,M12.2,FC4降级模式(连续5次失败)
M_Manual_ValveA_Latch,M13.0,手动阀A锁存
M_Manual_ValveB_Latch,M13.1,手动阀B锁存
M_Manual_ValveC_Latch,M13.2,手动阀C锁存
M_Manual_Pump1_Latch,M13.3,手动泵1锁存
M_Manual_Pump2_Latch,M13.4,手动泵2锁存
Flag_FC4_Retry_Count,MW14,FC4当前重试计数(0到3)
T_MixTotal,T38,S2搅拌总时长定时器(100ms时基)
T_CycleA,T46,周期倒计时器A(100ms时基)
T_CycleB,T48,周期倒计时器B(100ms时基)
T_S4_Transfer,T49,S4转移实测计时器(100ms时基)

// === POU 清单 (v2.2 新增 FC1A,删除 FC12/FC13/FC14) ===
// FC1A_State_S2_MixDose: 上缸S2搅拌+加药合并子状态(由原FC12+FC13合并,v2.2新建)
// FC40_RhythmCorrection: 双倒计时器周期管理(v2.2重写)
// 已删除(整体删除,源文件保留在archive/目录):
//   FC12_State_S2_PreMix: 上缸S2预循环(并入FC1A)
//   FC13_State_S3_Dosing: 上缸S3加药(并入FC1A)
//   FC14_State_S35_Rest: 上缸S3.5静止等候(v2.2取消)
