符号,地址,注释
MB_Pump_Position,VW222,注射泵位置反馈(41007,半步)
MB_Flow_Avg,VD224,平均流速(0x000F,近1分钟)
MB_Flow_Unit,VW228,流量单位编码(0x0012,默认0x03=升L)
DT_TankB_FullTime,DT10,下缸变满时刻时间戳(断电恢复用)
VW230_ValveA_SubState,VW230,阀A诊断子状态
VW232_ValveA_Result,VW232,阀A诊断结果
VW234_ValveA_PT,VW234,阀A当前PT定时值
VW240_ValveB_SubState,VW240,阀B诊断子状态
VW242_ValveB_Result,VW242,阀B诊断结果
VW244_ValveB_PT,VW244,阀B当前PT定时值
VW250_ValveC_SubState,VW250,阀C诊断子状态
VW252_ValveC_Result_OLD,VW252,阀C诊断结果(陈旧:v2.1实际已迁VW270;v2.3前被VD252 TimerB_Elapsed低字覆盖,FC1A的T38 PT已迁VW402,本行勿复用)
VW254_ValveC_PT,VW254,阀C当前PT定时值
VD308_Diag_Spare1,VD308,诊断数据迁移区1
VD312_Diag_Spare2,VD312,已删除(原阀A内漏差值,2026-09-14废弃)
VD316_TargetInletVolume,VD316,目标进水量(FC30用)
VD320_Diag_Spare3,VD320,诊断数据迁移区3
VD324_Diag_Spare4,VD324,诊断数据迁移区4
VD328_Diag_Spare5,VD328,诊断数据迁移区5
VD332_Diag_Spare6,VD332,诊断数据迁移区6
VD336_Diag_Spare7,VD336,诊断数据迁移区7
VD340_Diag_Spare8,VD340,诊断数据迁移区8
VD344_Diag_Spare9,VD344,诊断数据迁移区9
VD_FlowMeter_Degraded,VD374,流量计降级值(通讯失败时使用)
VB500_LogHead,VB500,报警日志头指针
VB501_LogTail,VB501,报警日志尾指针
VB502_LogCount,VB502,报警日志当前条数
VB510_LogEntry1,VB510,报警日志条目1起始
M_EStop_Latch_Flag,M0.0,急停锁存标志(建议保持)
M10.0_StateFirstEnter_S0,M10.0,S0状态首入脉冲(建议保持)
M10.1_StateFirstEnter_S1,M10.1,S1状态首入脉冲(建议保持)
M10.2_StateFirstEnter_S2,M10.2,S2状态首入脉冲(建议保持)
M10.3_StateFirstEnter_S3,M10.3,S3状态首入脉冲(建议保持)
M10.4_StateFirstEnter_S35,M10.4,S3.5状态首入脉冲(建议保持)
M10.5_StateFirstEnter_S4,M10.5,S4状态首入脉冲(建议保持)
M10.6_StateFirstEnter_S5,M10.6,S5状态首入脉冲(建议保持)
M10.7_StateFirstEnter_S6,M10.7,S6状态首入脉冲(建议保持)
M11.0_Edge_I0_0,M11.0,I0.0边沿上一周期(建议保持)
M11.1_Edge_I0_1,M11.1,I0.1边沿上一周期(建议保持)
M_TimerA_Active,M16.0,=1表示当前下缸轮次使用TimerA
M_NextCycleTrigger,M16.1,触发下一轮S1的脉冲
M_S1_Started,M16.2,当前轮S1已开始标志
M_S2_FirstEntry,M16.3,S2首次进入标志
M11.2_Reserved,M11.2,保留未使用(硬件变更：I0.2已去除，原边沿状态不再使用)
M11.3_Edge_I1_1,M11.3,I1.1边沿上一周期(建议保持)
M_FC4_Done_Pump,M12.0,FC4注射泵轮询完成位
M_FC4_Done_Flow,M12.1,FC4流量计轮询完成位
M_FC4_DegradedMode,M12.2,FC4降级模式(连续5次失败)
M_Manual_ValveA_Latch,M13.0,手动阀A锁存
M_Manual_ValveB_Latch,M13.1,手动阀B锁存
M_Manual_ValveC_Latch,M13.2,手动阀C锁存
M_Manual_Pump1_Latch,M13.3,手动泵1锁存
M_Manual_Pump2_Latch,M13.4,手动泵2锁存
M_FC4_Retry_Count,MW14,FC4当前重试计数(0~3)
T_MixTotal,T38,S2搅拌总时长定时器(100ms时基)
T_CycleA,T46,周期倒计时器A(100ms时基)
T_CycleB,T48,周期倒计时器B(100ms时基)
T_S4_Transfer,T49,S4转移实测计时器(100ms时基)
